id,title,authors,genre,isbn,num_pages,publisher,publication_date,price
1,W.C. Fields: A Life on Film,Ronald J. Fields,unknown,0312853122,256,St. Martin's Press,1984-09-01,25.75
2,Best Friends Forever,Jennifer Weiner,fiction,0743294297,368,Atria Books,2009-07-14,39.5
3,The Aeneid for Boys and Girls,Alfred J. Church,history,1599150603,162,Yesterday's Classics,2006-09-13,18.25
4,"All's Fairy in Love and War (Avalon: Web of Magic, #8)",Rachel Roberts,fantasy,1934876569,216,Seven Seas,2009-03-03,49.25
5,The Devil's Notebook,"Anton Szandor LaVey,Kenneth Anger",unknown,0922915113,147,Feral House,2000-04-01,42.0
6,"Crowner Royal (Crowner John Mystery, #13)",Bernard Knight,mystery,184737297X,400,Simon & Schuster UK,2009-04-06,31.0
7,Spirit Lake - Die Legende des Wendigo,Christopher Ross,unknown,nan,280,Baumhaus Verlag GmbH,2016-06-10,41.5
8,Penny from Heaven,Jennifer L. Holm,fiction,037583687X,288,Random House Books for Young Readers,2006-07-25,27.75
9,Dog Heaven,Cynthia Rylant,fiction,0590417010,40,Blue Sky Press,1995-09-01,14.5
10,"Buenos días, tristeza",Francoise Sagan,fiction,8495971933,184,Quinteto,2003-05-01,33.75
11,The Tommyknockers,"Stephen King,Edward Herrmann",fiction,0142427896,1,Penguin Audio,2010-05-13,12.0
12,Untold Secrets: Fire & Ice,Zabrina Murray,unknown,1479174661,168,amazon.com,2012-09-01,23.5
13,Vision of Sir Launfal and Other Poems,James Russell Lowell,unknown,nan,80,"Houghton, Mifflin and Company",1887-11-01,30.0
14,Holding On,Lisa Mills,fiction,1463650132,290,Createspace,2011-07-08,15.5
15,Understand God's Word - Walk in the Truth,Zhang  Yun,unknown,1483985644,412,Amazon,2013-11-08,8.5
16,Stoner,"John  Williams,Peter Cameron,Stefano Tummolini",fiction,8864116435,332,Fazi,2012-05-28,39.0
17,Emma,Jane Austen,fiction,1597371289,544,Brilliance Audio,2005-09-25,38.5
18,To Have and Have Not,"Ernest Hemingway,Will Patton",fiction,0743564421,5,Simon  Schuster Audio,2006-08-01,48.25
19,Investor Behavior: The Psychology of Financial Planning and Investing,"H. Kent Baker,Victor Ricciardi",unknown,1118727010,640,Wiley,2014-01-31,31.75
20,The Gingrich Senators: The Roots of Partisan Warfare in Congress,Sean M. Theriault,unknown,0199307458,240,"Oxford University Press, USA",2013-05-01,33.75
21,Botham's Book of the Ashes: A Lifetime Love Affair with Cricket's Greatest Rivalry,Ian Botham,unknown,1845964918,272,Mainstream Publishing,2010-12-01,27.0
22,What Do You Do?,Mandy Stanley,unknown,1416904999,24,Little Simon,2005-06-01,11.25
23,Terence Conran's DIY By Design: Over 30 Projects To Make and More Than 100 Design Ideas For Every Room In Your Home,"Terence Conran,Roger Dubern,John McGowan,Hugh Johnson",unknown,1850294607,256,Conran,1999-12-31,23.25
24,"Eighteenth-Century Europe: Tradition and Progress, 1715-1789","Isser Woloch,Gregory S. Brown",history,0393929876,362,W. W. Norton & Company,2012-01-09,28.5
25,"Half Bad (Half Life, #1)",Sally Green,fantasy,0698143760,416,Viking Children's,2014-03-04,15.25
26,Fairy Tales: Dramolettes,"Robert Walser,Daniele Pantano,James Reidel,Reto Sorg",fiction,0811223981,128,New Directions,2015-04-20,16.0
27,Wycliffe and the Cycle of Death,W.J. Burley,mystery,0752844458,320,Orion,2001-08-02,6.25
28,L'isola dell'amore proibito,"Tracey Garvis-Graves,Serena Lauzi",romance,nan,322,Garzanti,2013-01-02,34.5
29,Little Bigfoot Goes to Town,Spike Brown,unknown,1478351845,212,Createspace,2012-08-01,47.25
30,Smoke,Catherine McKenzie,fiction,1503945650,340,Lake Union,2015-10-20,7.75
31,"Healer's Touch (Hearts And Thrones, #4)",Amy Raby,fantasy,nan,279,Amy Raby,2014-11-23,19.25
32,The Crimson Petal and the White,Michel Faber,fiction,015100692X,838,Houghton Mifflin Harcourt,2002-09-16,39.75
33,Bolton Past,Leslie Gent,unknown,0850339723,132,Phillimore & Company,1999-01-01,41.0
34,"Labyrinth (Languedoc Trilogy, #1)",Kate Mosse,fiction,0752860534,544,Orion,2005-07-07,26.25
35,"The Serpent and the Rose (War of the Rose, #1)",Kathleen Bryan,fantasy,0765313286,320,Tor Books,2007-03-06,41.75
36,The Complete Idiot's Guide to Writing a Novel,Thomas F. Monteleone,unknown,1592571727,352,Alpha,2004-03-02,10.75
37,ノ・ゾ・キ・ア・ナ 8 [Nozoki Ana 8],"Wakoh Honna,Honna Wakou (Ben Ming  wakou)",romance,4091838758,188,Xiao Xue Guan,2011-06-30,24.0
38,My Life in Middlemarch,Rebecca Mead,fiction,0307984788,256,Broadway Books,2014-01-28,25.0
39,Neil Young: The Definitive History,Mike   Evans,unknown,140279911X,288,Sterling,2012-11-06,30.5
40,Amadi's Snowman: A Story of Reading,"Katia Novet Saint-Lot,Dimitrea Tokunbo",fiction,0884482987,32,Tilbury House Publishers,2008-05-01,10.5
41,The Cost of Doing Business,Jonathan Ashley,unknown,8293326247,228,280 Steps,2014-11-04,19.5
42,"Superman Archives, Vol. 2","Jerry Siegel,Joe Shuster",unknown,0930289765,272,DC Comics,1997-11-14,34.5
43,Love Means... Patience,Andrew  Grey,romance,1627988912,200,Dreamspinner Press,2014-05-23,16.0
44,El Tarot del inconsciente: Abordaje terapéutico transpersonal,Giuseppe Badaracco,unknown,nan,202,Hesiodo,2015-10-12,37.0
45,The Body Electric,Beth Revis,romance,0990662616,351,Scripturient Books,2014-10-06,44.75
46,"A.I. Revolution, Vol. 1",Yuu Asami,science,1933617640,206,Go! Comi,2007-01-02,21.0
47,"White Fire (Pendergast, #13)","Douglas Preston,Lincoln Child",mystery,1619694611,13,Grand Central Publishing,2013-11-12,27.25
48,Siebentürmeviertel,Feridun Zaimoglu,unknown,3462047647,800,Kiepenheuer&Witsch,2015-08-17,38.75
49,"War Stories, Volume 3","Garth Ennis,Tomas Aira,Keith Burns,Matt Martin",fiction,1592912729,224,Avatar Press,2016-01-26,31.0
50,"Crossed, Volume 15",Mike Wolfer,unknown,1592912737,160,Avatar Press,2016-03-08,12.0
51,"Jump, Little Wood Ducks","Marion Dane Bauer,Stan Tekiela",unknown,1591935857,36,Adventurekeen,2016-02-24,15.75
52,"Crossed + One Hundred, Volume 2 (Crossed +100 #2)","Simon Spurrier,Fernando Heinz,Rafael Ortiz,DigiKore Studios,Jaymes Reed",fantasy,1592912753,160,Avatar Press,2016-03-22,27.75
53,"War Stories, Volume 4","Garth Ennis,Tomas Aira",fiction,159291277X,144,Avatar Press,2016-06-14,31.75
54,"Polar Star (Arkady Renko, #2)",Martin Cruz Smith,fiction,0345367650,366,Ballantine Books,1990-06-13,27.0
55,Like Water,Rebecca Podos,romance,0062373374,304,Balzer + Bray,2017-10-17,34.0
56,Beautee and the Beast,Cali,unknown,nan,129,Jessica Watkins Presents,2014-09-24,48.75
57,The Fifth Columnist (Book 2),Andrea Tezumo,unknown,nan,216,Elex Media Komputindo,2010-05-12,28.5
58,Piercing the Reich,Joseph E. Persico,history,0345282809,464,Ballantine Books,1979-11-12,37.25
59,American Maze: Only One Way Out,Ralph Peduto,unknown,0984114041,294,River Sanctuary Publishing,2010-11-10,43.0
60,The Blood and Light Series (Blood and Light #1-6),Rue Volley,fiction,nan,2969,Vamptasy Publishing,2013-10-04,21.25
61,A Monster Calls,Patrick Ness,fantasy,1406346950,240,Walker Childrens Hardbacks,2012-11-01,38.5
62,The Loved One,Evelyn Waugh,fiction,031621647X,176,Back Bay Books,2012-12-11,19.75
63,Tirthraj Pushkar,Vipin Behari Goyal,unknown,nan,84,Pearl Sansthan,1997-10-01,15.5
64,Will to Murder: The True Story Behind the Crimes & Trials Surrounding the Glensheen Killings,"Gail Feichtinger,Gary Waller,John DeSanto",history,188731721X,403,X-Communication,2003-07-01,26.0
65,One Gay American,Dennis Milam Bensie,unknown,9781603811,242,Coffeetown Press,2012-09-01,35.25
66,"Twinkle, Twinkle, Little Star","Charles Reasoner,Marina Le Ray",unknown,1404881751,12,Picture Window Books,2013-03-01,29.0
67,The Language of Light: A Novel,Meg Waite Clayton,fiction,0345526643,352,Ballantine Books,2011-06-28,47.75
68,Itsy Bitsy Spider,"Charles Reasoner,Marina Le Ray",fiction,1404881735,10,Picture Window Books,2013-03-01,40.5
69,Humpty Dumpty,"Charles Reasoner,Marina Le Ray",unknown,1404881727,10,Picture Window Books,2013-03-01,39.75
70,The Falls,Cathryn Hein,romance,1921901993,402,Michael Joseph / Penguin Australia,2015-04-22,24.75
71,L'uomo che dava del tu a Mick Jagger,David Handler,mystery,8881540444,203,Polillo,1998-01-01,23.5
72,"Princess of Fire (Fire, #1)",Shannon Drake,romance,0821747967,507,Zebra,1994-12-01,5.75
73,Monkeewrench,"P.J. Tracy,Buck Schirner",mystery,1593351380,10,Brilliance Audio,2004-06-10,11.25
74,Live Bait (Monkeewrench #2),P.J. Tracy,mystery,0718145860,268,Michael Joseph Ltd,2004-06-24,39.5
75,The Cocktail Party,T.S. Eliot,fiction,0156182890,190,Mariner Books,1964-03-18,40.75
